corridas_id,piloto_id,construtor_id,numero,grid,posicao_ordem,pontos
18,1,1,22.0,1,1,10.0
18,2,2,3.0,5,2,8.0
18,3,3,7.0,7,3,6.0
18,4,4,5.0,11,4,5.0
18,5,1,23.0,3,5,4.0
18,6,3,8.0,13,6,3.0
18,7,5,14.0,17,7,2.0
18,8,6,1.0,15,8,1.0
18,9,2,4.0,2,9,0.0
18,10,7,12.0,18,10,0.0
18,11,8,18.0,19,11,0.0
18,12,4,6.0,20,12,0.0
18,13,6,2.0,4,13,0.0
18,14,9,9.0,8,14,0.0
18,15,7,11.0,6,15,0.0
18,16,10,20.0,22,16,0.0
18,17,9,10.0,14,17,0.0
18,18,11,16.0,12,18,0.0
18,19,8,19.0,21,19,0.0
18,20,5,15.0,9,20,0.0
18,21,10,21.0,16,21,0.0
18,22,11,17.0,10,22,0.0
19,8,6,1.0,2,1,10.0
19,9,2,4.0,4,2,8.0
19,5,1,23.0,8,3,6.0
19,15,7,11.0,3,4,5.0
19,1,1,22.0,9,5,4.0
19,2,2,3.0,5,6,3.0
19,17,9,10.0,6,7,2.0
19,4,4,5.0,7,8,1.0
19,14,9,9.0,12,9,0.0
19,18,11,16.0,11,10,0.0
19,12,4,6.0,13,11,0.0
19,21,10,21.0,17,12,0.0
19,22,11,17.0,14,13,0.0
19,3,3,7.0,16,14,0.0
19,19,8,19.0,21,15,0.0
19,11,8,18.0,19,16,0.0
19,6,3,8.0,22,17,0.0
19,20,5,15.0,15,18,0.0
19,13,6,2.0,1,19,0.0
19,16,10,20.0,20,20,0.0
19,10,7,12.0,10,21,0.0
19,7,5,14.0,18,22,0.0
20,13,6,2.0,2,1,10.0
20,8,6,1.0,4,2,8.0
20,9,2,4.0,1,3,6.0
20,2,2,3.0,6,4,5.0
20,5,1,23.0,5,5,4.0
20,15,7,11.0,7,6,3.0
20,17,9,10.0,11,7,2.0
20,3,3,7.0,8,8,1.0
20,10,7,12.0,13,9,0.0
20,4,4,5.0,10,10,0.0
20,22,11,17.0,12,11,0.0
20,21,10,21.0,18,12,0.0
20,1,1,22.0,3,13,0.0
20,6,3,8.0,16,14,0.0
20,7,5,14.0,15,15,0.0
20,19,8,19.0,21,16,0.0
20,11,8,18.0,22,17,0.0
20,14,9,9.0,17,18,0.0
20,16,10,20.0,20,19,0.0
20,12,4,6.0,14,20,0.0
20,18,11,16.0,9,21,0.0
20,20,5,15.0,19,22,0.0
21,8,6,1.0,1,1,10.0
21,13,6,2.0,3,2,8.0
21,1,1,22.0,5,3,6.0
21,9,2,4.0,4,4,5.0
21,17,9,10.0,7,5,4.0
21,18,11,16.0,13,6,3.0
21,6,3,8.0,12,7,2.0
21,15,7,11.0,8,8,1.0
21,2,2,3.0,9,9,0.0
21,21,10,21.0,19,10,0.0
21,10,7,12.0,14,11,0.0
21,14,9,9.0,17,12,0.0
21,11,8,18.0,22,13,0.0
21,3,3,7.0,15,14,0.0
21,4,4,5.0,2,15,0.0
21,22,11,17.0,11,16,0.0
21,5,1,23.0,6,17,0.0
21,19,8,19.0,21,18,0.0
21,7,5,14.0,16,19,0.0
21,12,4,6.0,10,20,0.0
21,16,10,20.0,20,21,0.0
21,20,5,15.0,18,22,0.0
22,13,6,2.0,1,1,10.0
22,1,1,22.0,3,2,8.0
22,8,6,1.0,4,3,6.0
22,9,2,4.0,5,4,5.0
22,2,2,3.0,9,5,4.0
22,4,4,5.0,7,6,3.0
22,17,9,10.0,6,7,2.0
22,3,3,7.0,11,8,1.0
22,14,9,9.0,10,9,0.0
22,15,7,11.0,8,10,0.0
22,18,11,16.0,13,11,0.0
22,5,1,23.0,2,12,0.0
22,10,7,12.0,15,13,0.0
22,22,11,17.0,12,14,0.0
22,12,4,6.0,17,15,0.0
22,16,10,20.0,19,16,0.0
22,20,5,15.0,14,17,0.0
22,7,5,14.0,18,18,0.0
22,6,3,8.0,16,19,0.0
22,21,10,21.0,20,20,0.0
23,1,1,22.0,3,1,10.0
23,9,2,4.0,5,2,8.0
23,13,6,2.0,1,3,6.0
23,17,9,10.0,9,4,5.0
23,20,5,15.0,19,5,4.0
23,22,11,17.0,14,6,3.0
23,6,3,8.0,13,7,2.0
