corrida_id_corrida,circuito_id_circuito,ano_corrida,rodada_corrida,nome_corrida,data_corrida,circuito_ref_circuito,nome_circuito,localizacao_circuito,pais_circuito,latitude_circuito,longitude_circuito,altitude_circuito
1,1,2009,1,Australian Grand Prix,03/29/2009,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-378497.0,144968.0,10.0
2,2,2009,2,Malaysian Grand Prix,04/05/2009,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,276083.0,101738.0,18.0
3,17,2009,3,Chinese Grand Prix,04/19/2009,shanghai,Shanghai International Circuit,Shanghai,China,313389.0,121.22,5.0
4,3,2009,4,Bahrain Grand Prix,04/26/2009,bahrain,Bahrain International Circuit,Sakhir,Bahrain,260325.0,505106.0,7.0
5,4,2009,5,Spanish Grand Prix,05/10/2009,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
6,6,2009,6,Monaco Grand Prix,05/24/2009,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
7,5,2009,7,Turkish Grand Prix,06/07/2009,istanbul,Istanbul Park,Istanbul,Turkey,409517.0,29405.0,130.0
8,9,2009,8,British Grand Prix,06/21/2009,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
9,20,2009,9,German Grand Prix,07/12/2009,nurburgring,Nürburgring,Nürburg,Germany,503356.0,69475.0,578.0
10,11,2009,10,Hungarian Grand Prix,07/26/2009,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
11,12,2009,11,European Grand Prix,08/23/2009,valencia,Valencia Street Circuit,Valencia,Spain,394589.0,-0.331667,4.0
12,13,2009,12,Belgian Grand Prix,08/30/2009,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
13,14,2009,13,Italian Grand Prix,09/13/2009,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
14,15,2009,14,Singapore Grand Prix,09/27/2009,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,12914.0,103864.0,18.0
15,22,2009,15,Japanese Grand Prix,10/04/2009,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
16,18,2009,16,Brazilian Grand Prix,10/18/2009,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
17,24,2009,17,Abu Dhabi Grand Prix,11/01/2009,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,244672.0,546031.0,3.0
18,1,2008,1,Australian Grand Prix,03/16/2008,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-378497.0,144968.0,10.0
19,2,2008,2,Malaysian Grand Prix,03/23/2008,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,276083.0,101738.0,18.0
20,3,2008,3,Bahrain Grand Prix,04/06/2008,bahrain,Bahrain International Circuit,Sakhir,Bahrain,260325.0,505106.0,7.0
21,4,2008,4,Spanish Grand Prix,04/27/2008,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
22,5,2008,5,Turkish Grand Prix,05/11/2008,istanbul,Istanbul Park,Istanbul,Turkey,409517.0,29405.0,130.0
23,6,2008,6,Monaco Grand Prix,05/25/2008,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
24,7,2008,7,Canadian Grand Prix,06/08/2008,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
25,8,2008,8,French Grand Prix,06/22/2008,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,468642.0,316361.0,228.0
26,9,2008,9,British Grand Prix,07/06/2008,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
